Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Referensi/Ensiklopedia/125717-Ensiklopedia-Tata-Bahasa-Indonesia.html,Rp 54.500,Rp 46.325,Ensiklopedia Tata Bahasa Indonesia,-,Kunci Aksara ,Juni - 2014,-,200 gr,Soft Cover,-,Ensiklopedia,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/108894-Pengantar-Studi-Al-Quran-:-Teori-dan-Pendekatan.html,Rp 60.000,Rp 51.000,Pengantar Studi Al-Quran : Teori dan Pendekatan,9789792553802,Lkis ,November - 2012,224,500 gr,Soft Cover (HVS),-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/83043-Spiritual-Soft-Drink.html,Rp 39.000,Rp 33.150,Spiritual Soft Drink,9798452437,Lkis ,2008,-,100 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168089-Terapi-Depresi.html,Rp 72.000,Rp 61.200,Terapi Depresi,9786237324461,Psikologi Corner ,Oktober - 2019,328,320 gr,soft cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/161364-The-Happy-Therapy-Book.html,Rp 70.000,Rp 59.500,The Happy Therapy Book [Resep Sederhana Hidup Bahagia - Edisi TTD Penulis],9786028740654,Lentera Hati ,Maret - 2019,134,200 gr,Soft Cover,14x21mm,Psikologi,-,Indonesia ··
https://www.bukukita.com/Bahasa-dan-Kamus/Belajar-Bahasa/159634-Panduan-Menghadapi-Ujian-Internasional-Kemampuan-Bahasa-Jepang-N4.html,Rp 55.500,Rp 47.175,Panduan Menghadapi Ujian Internasional Kemampuan Bahasa Jepang N4,9786025907210,Pusat Kajian Bahasa ,Oktober - 2018,-,300 gr,Soft Cover,-,Belajar Bahasa,-,
"https://www.bukukita.com/Masakan-dan-Makanan/Resep-Masakan/124765-Serba-Pangsit-Paling-Favorit,-Populer,-Istimewa.html",Rp 29.000,Rp 24.650,"Serba Pangsit Paling Favorit, Populer, Istimewa",9786027991767,Dunia Kreasi ,Mei - 2014,-,150 gr,Soft Cover,-,Resep Masakan,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/81968-SERONG!-Sebab-Jalan-Hidup-Tak-Selalu-Lurus.html,Rp 36.000,Rp 30.600,SERONG! Sebab Jalan Hidup Tak Selalu Lurus ,9786028597241,Leutika ,Juli - 2010,214,200 gr,Soft Cover,-,Remaja,-,Indonesia ··
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/86241-Undang-Undang-Perkeretaapian.html,Rp 40.500,Rp 34.425,Undang-Undang Perkeretaapian (Undang-Undang Republik Indonesia Nomor 23 Tahun 2007),9786028189880,Fokus Media ,2009,356,150 gr,Soft Cover,11x21mm,Undang-undang,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/166973-FILOSOFI-DOA.html,Rp 49.000,Rp 41.650,"FILOSOFI DOA ( Dari penentraman hati , Pembangun Diri, hingga pengubah Nasib",9786237163411,Alifia Books ,November - 2020,200,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Busana-dan-Kecantikan/Hijab-Tutorial/104553-HIJAB-STYLE-BY-HIJABERS-COMMUNITY:-THE-OFFICIAL-BOOK-OF-HIJABERS-COMMUNITY.html,Rp 68.000,Rp 34.000,HIJAB STYLE BY HIJABERS COMMUNITY: THE OFFICIAL BOOK OF HIJABERS COMMUNITY (Disc 50%),9789790172364,KawanPustaka ,Juni - 2012,80,345 gr,soft cover,-,Hijab Tutorial,VCD 10 Tutorial gaya hijab favorit by HC,Indonesia ··
https://www.bukukita.com/Bahasa-dan-Kamus/Belajar-Bahasa/159645-Buku-Sakti-Belajar-Bahasa-Korea-Edisi-Revisi.html,Rp 51.800,Rp 44.030,Buku Sakti Belajar Bahasa Korea - Edisi Revisi,9786026380302,Pusat Kajian Bahasa ,Oktober - 2018,-,250 gr,Soft Cover,-,Belajar Bahasa,-,
https://www.bukukita.com/Bahasa-dan-Kamus/Kamus-Umum/159610-Kamus-Pocket-Korea-Indonesia.html,Rp 57.800,Rp 49.130,Kamus Pocket Korea - Indonesia,9786025638473,Pusat Kajian Bahasa ,Oktober - 2018,-,250 gr,Soft Cover,-,Kamus Umum,-,
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/78862-TOGOG-Menggugat-Negeri-Maling.html,Rp 90.000,Rp 76.500,TOGOG Menggugat Negeri Maling,9789793782560,Simbiosa Rekatama Media ,April - 2010,-,600 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia ··
"https://www.bukukita.com/Agama/Islam/167335-Muhammad-Saw-:-Manusia-Paling-Sempurna,-Nabinya-Para-Nabi.html",Rp 125.000,Rp 106.250,"Muhammad Saw : Manusia Paling Sempurna, Nabinya Para Nabi",9786232201040,Alvabet ,Februari - 2021,550,600 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/125787-Setiap-Muslim-Wajib-Punya-Ini.html,Rp 64.500,Rp 54.825,Setiap Muslim Wajib Punya Ini,9786021139035,Zahira ,Juni - 2014,-,320 gr,Soft Cover,-,Islam,-,Indonesia ··
"https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168229-Buku-Nikmati-Kegagalanmu,-Raih-Kesuksesanmu!-Pelajaran-Inspiratif.html",Rp 72.000,Rp 61.200,"Buku Nikmati Kegagalanmu, Raih Kesuksesanmu! Pelajaran Inspiratif",9786237162872,Gemilang ,Agustus - 2021,300,250 gr,soft cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/144418-Al-Akhyar-A6.html,Rp 42.000,Rp 33.600,Al-Akhyar A6 (Cover Hitam),-,Mulia Qur'an ,Juni - 2016,-,500 gr,Soft Cover,-,Al-Quran,-,Indonesia ··
https://www.bukukita.com/Bahasa-dan-Kamus/Belajar-Bahasa/160841-The-Amazing-Book-of-English-Vocabulary-for-Millenials.html,Rp 50.000,Rp 42.500,The Amazing Book of English Vocabulary for Millenials,9786020770178,Pusat Kajian Bahasa ,Januari - 2019,224,250 gr,Soft Cover,-,Belajar Bahasa,-,
https://www.bukukita.com/Agama/Islam/163648-Tafsir-Tarbawi:-Nilai-nilai-Pendidikan-dalam-Al-Quran.html,Rp 88.000,Rp 74.800,Tafsir Tarbawi: Nilai-nilai Pendidikan dalam Al-Quran,9786027720954,Lentera Hati ,Oktober - 2019,289,300 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/77421-Bijak-Dalam-5-Menit-:-Kumpulan-Pepatah-Bijak-yang-Bisa-Mengubah-Hidup-Anda.html,Rp 45.000,Rp 38.250,Bijak Dalam 5 Menit : Kumpulan Pepatah Bijak yang Bisa Mengubah Hidup Anda,978,Lentera Hati ,Februari - 2010,-,300 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/129356-FABEL-AL-QURAN-:-16-Kisah-Binatang-Istimewa-Yang-Diabadikan-Al-Quran.html,Rp 118.000,Rp 100.300,FABEL AL-QUR'AN : 16 Kisah Binatang Istimewa Yang Diabadikan Al-Quran,9786027720251,Lentera Hati ,Oktober - 2014,482,500 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/157622-Seri-Makhluk-Ghaib-:-Jin-dalam-Al-Quran.html,Rp 37.000,Rp 31.450,Seri Makhluk Ghaib : Jin dalam Al-Quran,9786027720688,Lentera Hati ,Juli - 2018,-,210 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/135065-40-Kisah-Akhir-Hidup-Kezaliman-Makhluk-Makhluk-Allah.html,Rp 82.000,Rp 69.700,40 Kisah Akhir Hidup Kezaliman Makhluk-Makhluk Allah,9786027720336,Lentera Hati ,Mei - 2015,-,450 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Islam/165437-Ana-Uhibbuka-Oppa!.html,Rp 52.500,Rp 44.625,Ana Uhibbuka Oppa!,9786232441248,Histeria ,Maret - 2020,-,260 gr,soft cover,-,Islam,-,Indonesia ··
